CALL,FINAL SCORE,CLASS,TOTAL QSOS,Power Multiplier,GOTA CALL,SEC,Number of Participants,CLUB NAME
NO3L,1458,2A,318,2,AD5DX,AR,75,North Arkansas ARS
NO4GA,2840,4AB,199,5,NA,GA,5,North Georgia QRP Club
NO8C,654,1D,159,2,NA,OH,1,NA
NO8N,1530,3D,431,2,NA,OH,5,NA
NØARA,1588,2A,381,2,NA,CO,77,Cherry Creek Young ARC
NØBHC,840,1A,145,2,NA,MN,6,Scott Co ARES
NØBHT,430,1B1B,140,2,NA,CO,1,NA
NØCQC,3015,2AB,228,5,NA,CO,11,Colorado QRP Club
NØDH,2800,2A,903,2,NA,MN,25,Hiawatha Valley ARC
NØDOS,105,1B1B,11,5,NA,WWA,1,NA
NØDSN,494,1D,222,2,NA,MN,2,NA
NØEKM,778,1D,364,2,NA,MN,11,NA
NØEN,1212,4A,374,2,NA,MN,5,Gotha Home Brew Soc
NØEVH,3450,1B1B,310,5,NA,MO,1,NA
NØGF,5026,3A,1343,2,NØGFK,ND,20,Forx ARC
NØHR,2168,1D,831,2,NA,IA,1,NA
NØHV,750,2A,120,2,KØCMD,MO,18,South Side ARC
NØIBT,122,1D,18,2,NA,CO,1,NA
NØICV,58,1D,4,2,NA,IL,1,NA
NØJDC,1138,1B2B,222,2,NA,CO,2,NA
NØKDI,4,1D,1,2,NA,CO,1,NA
NØKE,8890,2AB,885,5,NA,CO,4,Grand Mesa Contesters of CO
NØKGM,1956,1F,753,2,NA,UT,3,NA
NØMA,4864,3A,1539,2,NØMMA,IA,20,Radio Farm
NØMFC,1350,2A,318,2,NA,MO,34,Northwest AR & Electronics Assn
NØN,1884,2A,445,2,KBØTLM,IA,12,Boone AR Klub
NØNAF,878,3AC,282,2,NA,IA,4,Coon Valley ARC
NØNK,2040,2A,524,2,NA,KS,22,McPherson/Newton ARC
NØOMC,398,1A,49,2,NA,KS,3,NA
NØPR,3564,2AC,780,2,ABØC,MO,12,Macon Cty ARC
NØRP,805,1B1B,101,5,NA,MO,1,NA
NØSFF,1646,1A,520,2,NA,IA,11,NA
NØSRF,1202,3A,490,2,NA,CO,4,TOTAH
NØSS,4262,2A,1155,2,KØETY,MO,49,Mid-Missouri ARC
NØTA,4228,2A,1306,2,NA,CO,3,NA
NØTK,736,3A,94,2,NA,CO,5,OFOG Group
NØTU,2160,3AB,201,5,NA,MO,4,4 State QRP Group
NØUA,3394,3A,1112,2,NA,CO,20,Franktown FD Club
NØUW,4706,5A,1486,2,NA,MN,30,Owatonna Steele Co ARC
NØUY,1628,2B2B,367,2,NA,MN,2,NA
NØW,5780,9A,1407,2,KØW,KS,81,Greater Wichita Field Day
NØZS,2096,2A,698,2,NA,MO,22,Lake of the Ozarks ARC
NP2CB,324,3AC,81,2,NA,NFL,5,NA
NP3M,356,2F,28,2,NA,PR,10,Western ARC
NQ2W,2920,1E,267,5,NA,ENY,1,NA
NQ5K,1150,1D,275,2,NA,STX,1,NA
NQ7R,1680,1B1B,143,5,NA,AZ,1,NA
NR6P,1870,5A,357,2,NA,ORG,12,Coachella Valley ARC
NR8Z,1660,1B1B,141,5,NA,OH,1,NA
NS1RA,10800,3A,2882,2,NA,EMA,40,North Shore Radio Assn
NS2X,2270,1B1B,202,5,NA,TN,1,NA
NS3HS,582,2AC,186,2,NA,WPA,7,NA
NS4H,138,1D,59,2,NA,NFL,2,NA
NS7F,830,1A,86,2,NA,AZ,7,Harry Potter ARC
NT4Y,1706,1E,783,2,NA,NFL,3,NA
NT5HS,536,1A,120,2,NA,NTX,5,North Texas Homeschoolers ARC
NT7H,1402,3A,383,2,NA,WWA,26,Olympia ARS
NT7R,274,1C,31,2,NA,MT,1,NA
NU1O,226,1D,226,1,NA,WMA,1,NA
NU6DE,552,2A,128,2,NA,SDG,4,Pacific Area Naturists ARS
NU6N,1044,1E,211,2,NA,SJV,1,NA
NU6T,695,2B2B,55,5,NA,SV,2,NA
NU7B,1130,1E,201,2,NA,AZ,2,NA
NUØP,2180,2B2B,203,5,NA,IA,2,NA
NV5M,210,1E,6,5,NA,NM,1,NA
NV7AV,742,1A,236,2,NA,NV,6,Amargosa ARC
NV8E,2038,3A,563,2,NA,OH,4,NA
NW2C,3126,3A,905,2,NA,NLI,50,Northeast Wireless RC
NW2K,1074,1D,256,2,NA,WNY,1,NA
NW3H,1846,1E,678,2,NA,EPA,3,NA
NW7U,350,1B1B,21,5,NA,WWA,1,NA
NWØK,5278,2A,1484,2,NA,KS,4,Trojan ARC
NX9K,1034,1E,296,2,NA,WI,2,NA
NXØG,1650,2A,488,2,NA,CO,15,Mountain ARC
NXØU,1106,3A,172,2,NA,MO,21,Blue Springs ARC
NY4S,1684,3D,576,2,NA,TN,3,NA
NY6J,1452,1E,328,2,NA,IN,1,NA
NY6U,146,1E,35,2,NA,SCV,1,NA
NZ1U,3144,2A,734,2,NA,CT,6,Barnstormers Contest Group
NZ5A,2690,1B1B,214,5,NA,STX,1,NA
PJ2OF,66,2C,8,2,NA,DX,1,NA
UA4LCH,194,1D,22,1,NA,DX,1,NA
V2KY,178,1B1B,64,2,NA,QC,1,NA
VA2CMQ,380,2A,46,2,NA,QC,10,NA
VA2RIO,130,1E,15,2,NA,QC,1,NA
VA2UT,194,2D,67,2,NA,QC,2,NA
VA3BPO,350,1B1B,40,2,NA,ON,1,NA
VA3DF,6230,1B2B,646,5,NA,ON,2,NA
VA3DHX,686,2C,235,2,NA,ON,3,NA
VA3EC,1354,1D,326,2,NA,ON,1,NA
VA3FN,454,1D,101,2,NA,ON,1,NA
VA3GKO,650,1D,300,2,NA,ON,1,NA
VA3GUY,774,1D,362,2,NA,ON,1,NA
VA3OR,204,1D,50,2,NA,ON,1,NA
VA3OVQ,4045,2AB,345,5,NA,ON,12,Ottawa Valley QRP Soc
VA3PES,1068,1F,259,2,NA,ON,8,NA
VA3QR,1488,1E,412,2,NA,ON,2,NA
VA3RJ,92,1D,23,2,NA,ON,1,NA
VA3SB,468,1D,117,2,NA,ON,1,NA
VA3TOP,1292,4A,309,1,NA,ON,8,Elliot Lake ARC
VA3TQX,108,1D,29,2,NA,ON,1,NA
VA3YT,2870,1B1B,232,5,NA,ON,1,NA
VA3YV,3975,1B2B,403,5,NA,ON,2,NA
VA3ZDX,124,1D,124,1,NA,ON,1,NA
VA4PAR,1326,1AC,548,2,NA,MB,15,Pathfinders ARC
VA5DR,1278,2A,284,2,NA,SK,8,Meewasin ARS
VA7MM,1822,2E,348,2,NA,BC,4,NA
VA7ST,1660,1E,151,5,NA,BC,1,NA
VA7XN,1320,1B1B,121,5,NA,BC,1,NA
VC9M,964,2A,211,2,NA,MAR,30,Moncton Area ARC
VE1ARC,1182,2A,240,2,NA,MAR,20,Greenwood ARC
VE1FO,3080,2F,1001,2,VE1TRI,MAR,30,NA
VE1RGB,522,1D,118,2,NA,MAR,1,NA
VE1WRC,376,1F,163,2,NA,MAR,14,NA
VE1ZA,286,1E,118,2,NA,MAR,1,NA
VE2AHH,210,1B1B,11,5,NA,QC,1,NA
VE2AWR,1652,1E,437,2,NA,QC,1,NA
VE2CBS,1530,1AB,172,5,NA,QC,8,CRA SOREL/TRACY
VE2CLM,716,1A,33,2,NA,QC,13,CRA Rive Sude de Montreal
VE2CQ,2012,2A,533,2,VE2CDX,QC,32,Club Radio Amateur de Quebec
VE2CRB,2094,1A,441,2,NA,QC,8,Club Radioamateur de Beauce
VE2CRL,752,2A,135,2,NA,QC,30,CRA Laval Laurentides
VE2CRO,1692,3A,562,2,NA,QC,44,Club Radio Amateur Outaouais
VE2CSP,1754,3A,374,2,NA,QC,35,Assn Radio Amateur de Portneuf
VE2CUA,4110,1A,1125,2,NA,QC,20,West Island ARC/Montreal ARC/Concordia Univ ARC
VE2CUR,1069,1A,1014,1,NA,QC,12,Groupe Radio VE2RMP RG
VE2CVR,2034,2A,456,2,NA,QC,12,Club Radio Amateur de la Vallee du Richelieu
VE2CYH,1528,1A,325,2,NA,QC,15,Covey Hill ARC
VE2FET,4556,1A,997,2,NA,QC,7,NA
VE2GLA,48,1D,13,2,NA,QC,1,NA
VE2HIT,142,1D,46,2,NA,QC,1,NA
VE2JCW,1470,1B1B,142,5,NA,QC,1,NA
VE2NFX,90,1D,20,2,NA,QC,1,NA
VE2POU,36,1D,15,2,NA,QC,1,NA
VE2QV,678,1D,132,2,NA,QC,1,NA
VE2RAE,470,2AC,155,2,VA2DJ,QC,12,Club Radio Amateur de l'Estrie
VE2SG,1740,1E,403,2,NA,QC,1,NA
VE2UM,216,1D,45,2,NA,QC,2,NA
VE2UMS,4218,1A,1185,2,NA,QC,40,Union Metropolitaine des Sans-filistes de Montreal
VE2WMA,70,1E,2,5,NA,QC,1,NA
VE3AR,2532,2A,701,2,VE3MND,ON,38,Sudbury ARC
VE3AUO,290,1D,145,2,NA,ON,1,NA
VE3BA,2334,6A,701,2,NA,ON,7,Brantford ARC
VE3CJ,1138,1A,210,2,NA,ON,10,Burlington ARC
VE3CRC,1300,3A,164,2,NA,ON,20,Chatham-Kent ARC
VE3CX,486,1D,139,2,NA,ON,1,NA
VE3DC,4764,4A,1489,2,VE3ATX,ON,52,Hamilton ARC
VE3ENG,1550,1B1B,115,5,NA,ON,1,NA
VE3FJ,774,1D,181,2,NA,ON,1,NA
VE3FRG,2080,5AC,1014,2,NA,ON,5,Frontenac Radio Group
VE3GBY,1540,2E,478,2,NA,ON,6,NA
VE3GCB,1292,2A,371,2,NA,ON,20,Barrie ARC
VE3GSI,1982,1E,483,2,NA,ON,1,NA
VE3GTC,1180,1B1B,73,5,NA,ON,1,NA
VE3HG,1200,1B1B,115,5,NA,ON,1,NA
VE3HHT,300,1B1B,30,5,NA,ON,1,NA
VE3IC,2896,5A,928,2,VE3EOS,ON,29,Kitchener Waterloo ARC
VE3IFS/W2,845,1E,491,1,NA,NNJ,1,NA
VE3JGL,110,1D,30,2,NA,ON,1,NA
VE3JJF,814,1A,252,2,NA,ON,6,LOWARS
VE3KI,5230,1E,517,5,NA,ON,3,NA
VE3LCA,1908,1A,508,2,NA,ON,8,Lanark-North Leeds ARES
VE3LM,470,1E,64,5,NA,ON,1,NA
VE3LSC,1218,1A,213,2,NA,ON,10,Bawating ARG
VE3LSR,1432,5D,515,2,NA,ON,8,NA
VE3MGY,1718,1D,416,2,NA,ON,3,NA
VE3MIS,8690,10A,2806,2,NA,ON,30,NA
VE3NAR,1088,3A,519,2,NA,ON,7,Nortown ARC
VE3NR,5530,2AB,527,5,NA,ON,3,NA
VE3OD,1348,1A,197,2,NA,ON,12,Halton ARC
VE3OKV,1302,2F,389,2,NA,ON,11,Oakville ARES Group
VE3OM,NA,1D,87,2,NA,ON,1,NA
VE3ORF,3110,4A,1086,2,NA,ON,15,NA
VE3OSR,1074,3AC,352,2,NA,ON,17,Georgian Bay ARC
VE3OW,6036,5A,2327,2,NA,ON,43,SPRARC-BCRC
VE3PKA,1614,1E,374,2,NA,ON,2,NA
VE3PRR,1684,2A,477,2,NA,ON,18,Prescott-Russell ARES
VE3QDR,12320,8AB,1219,5,NA,ON,9,Durham Region QRP Club
VE3RAM,3064,3A,820,2,VA3CUA,ON,25,Ottawa Valley Mobile RC
VE3RB,3030,2A,940,2,VE3KRG,ON,32,Peterborough ARC
VE3RC,3940,2A,979,2,NA,ON,55,Ottawa ARC
VE3RL,3976,3A,1287,2,NA,ON,18,Quinte ARC/ Prince Edward RC
VE3RSE,2025,3AB,154,5,NA,ON,12,Elgin ARS
VE3SAR,3452,3A,905,2,NA,ON,24,NA
VE3SDF,204,1A,52,2,NA,ON,5,St. Mary's ARC
VE3SGB,3690,1A,1360,2,NA,ON,6,South Georgian Bay ARC
VE3SOO,3394,2A,1088,2,NA,ON,6,Algoma ARC
VE3SPC,4734,6A,1190,2,NA,ON,12,South Pickering ARC
VE3SWA,4800,5A,1145,2,NA,ON,5,Cambridge ARC
VE3TAZ,875,1B1B,70,5,NA,ON,1,NA
VE3TNC,2010,3A,453,2,NA,ON,12,Toronto ARC
VE3TW,196,1D,37,2,NA,ON,1,NA
VE3VM,5544,7A,1728,2,VA3NRS,ON,40,Niagara Peninsula ARC
VE3WE,1588,7A,299,2,NA,ON,16,NA
VE3WOM,1054,5A,402,2,NA,ON,5,Whitby ARC
VE3XAM,355,1B1B,51,5,NA,ON,1,NA
VE3XAT,1906,1D,464,2,NA,ON,1,NA
VE3XR,6834,4A,2072,2,VA3POR,ON,25,Peel ARC
VE3YRA,5302,5A,1537,2,VE3YRK,ON,66,York Region ARC
VE3YX,150,1D,50,2,NA,ON,1,NA
VE4BB,1660,3A,405,2,NA,MB,111,Winnipeg ARC
VE4DET,194,1B1B,22,2,NA,MB,1,NA
VE4RDO,124,1C,12,2,NA,MB,1,NA
VE4XM,200,1E,25,2,NA,MB,1,NA
VE4YU,942,1E,234,2,NA,MB,1,NA
VE5DLM,70,1D,35,2,NA,SK,1,NA
VE5MX,386,1E,168,1,NA,SK,1,NA
VE5NN,2310,3A,579,2,NA,SK,14,Regina ARA
VE6FAR,1548,6AC,402,2,VE6TK,AB,22,Foothills ARS
VE6FD,1388,1A,594,1,NA,AB,13,Mayerthorpe Flying Dinosaurs
VE6FI,1556,2E,1206,1,NA,AB,5,NA
VE6KZ,4026,1B2,944,2,NA,AB,2,NA
VE6NQ,2614,2A,506,2,NA,AB,20,Calgary ARA
VE6RI,82,1D,16,1,NA,AB,1,NA
VE6SQ,416,1D,110,2,NA,AB,1,NA
VE6ZC,920,1B1B,77,5,NA,AB,1,NA
VE7CMR,752,3A,181,2,VE7CML,BC,25,Maple Ridge ARC
VE7CVA,3440,4F,1017,2,VE7RVC,BC,23,NA
VE7EOI,136,1D,43,2,NA,BC,1,NA
VE7IHL,420,1A,110,2,NA,BC,3,NA
VE7JKZ,1294,1B2,286,2,NA,BC,2,NA
VE7JR,742,2E,346,2,NA,BC,2,NA
VE7JRX,54,1D,2,2,NA,BC,1,NA
VE7LSY,3720,3A,779,2,VA7SRY,BC,30,Surrey/Langley Clubs
VE7NA,834,1F,101,2,NA,BC,6,NA
VE7NSR,1010,1A,296,2,NA,BC,30,North Shore ARC
VE7OGO,1586,3A,398,2,NA,BC,9,NA
VE7PCE,2946,2A,983,2,VA7ACT,BC,25,EPCOM
VE7RAR,2680,2A,499,2,VA7ODY,BC,20,Richmond ARC
VE7RLE,274,1D,87,2,NA,BC,1,NA
VE7SCC,4648,3A,1374,2,NA,BC,40,Coquitlan AR & Em Serv Soc
VE7SUN,1808,7A,249,2,NA,BC,11,Delta ARS
VE7UT,2172,2A,473,2,NA,BC,24,Kamloops ARC
VE7VCC,2328,3A,548,2,NA,BC,10,West Coast ARA
VE7VCT,1540,3A,161,2,VA7VCT,BC,40,VECTOR
VE8YK,700,2A,64,2,NA,NWT,14,Yellowknife ARS
VE9CRM,442,1A,101,2,NA,MAR,25,"CRAM, Inc."
VE9HF,713,1D,346,1,NA,MAR,1,NA
VE9ND,2040,3A,345,2,NA,MAR,15,Fredericton Arc
VK2HOT,40,1D,20,2,NA,DX,1,NA
VK4GH,87,1D,37,1,NA,DX,1,NA
VO1AA,1496,3A,112,2,NA,NL,25,NA
VO1MRC,1785,2AB,95,5,NA,NL,3,Marconi ARC of Newfoundland
VY2DM,400,1D,100,2,NA,MAR,1,NA
W1ACT,3518,2A,1143,2,N1JOY,EMA,12,Bristol Co Repeater Assn
W1AEC,568,2A,109,2,NA,EMA,20,Southeastern MA ARA
W1AF,8352,2A,2287,2,W1PL,WMA,19,Harvard Wireless Club / MIT Radio Soc
W1AQ,3920,1A,1163,2,NA,RI,16,Associated RA of SE New England
W1AW,5415,4F,3376,1,K1NO,CT,11,Maxim Memorial Station - ARRL HQ
W1BAA/2,2390,3A,462,2,K1LEE/2,ENY,26,Southern Berkshire ARC
W1BCG,776,1F,113,2,NA,CT,26,NA
W1BIM,5650,6A,1460,2,NA,WMA,12,Central MA ARA
W1BJ,58,1D,4,2,NA,EMA,1,NA
W1BOS,2246,4A,468,2,NA,EMA,40,Boston ARC
W1BRS,4286,9F,1219,2,K9OEM,CT,24,NA
W1BYH,1872,1B2B,500,2,NA,WMA,2,NA
W1C,3342,4F,815,2,WK1H,WMA,27,NA
W1CLA,6450,3A,1939,2,W1MHL,EMA,75,Clay Center ARC & Waltham ARA
W1CUM,1798,2A,634,2,NA,NH,8,NHRC ARS
W1CWA,2938,3A,568,2,AB1OD,CT,75,Bloomfield ARC
W1DDD,4910,2A,1391,2,W1TBR,RI,35,Blackstone Valley ARC
W1ECH,4795,1E,506,5,NA,VT,1,NA
W1ECV,982,3F,466,2,NA,CT,10,NA
W1EDH,1974,4A,495,2,NA,CT,12,Middlesex ARS
W1EE,9816,3A,3004,2,K1FC,CT,49,Stamford ARA
W1FZ,1168,3A,299,2,NA,NH,12,Great Bay Radio Assn
W1GAT,300,1D,125,2,NA,TN,1,NA
W1GLO,3002,3A,699,2,KB1PGH,EMA,57,NA
W1GUA,482,1E,106,2,NA,AL,4,NA
W1GZ,2116,4A,495,2,NA,WMA,15,Montachusett ARA
W1HH,6196,2A,1717,2,NA,EMA,11,Billerica ARS
W1HP,7956,2A,2162,2,KD1NA,EMA,15,PARC & PRA
W1HR/3,1830,1D,563,2,NA,WPA,2,NA
W1IE,585,1B1B,87,5,NA,VA,1,NA
W1ILB,692,2E,157,2,NA,SC,2,NA
W1INC,350,1B1B,20,5,NA,NH,1,NA
W1IS,2674,3D,618,2,NA,EMA,40,NA
W1JY,3802,4A,763,2,W1CNH,NH,21,Central New Hampshire ARC
W1KJ,6916,4A,1639,2,NA,NH,27,White Mtx ARC
W1KOO,1654,2F,422,2,NA,VT,19,NA
W1KVI,762,2A,147,2,NA,ME,15,Portland Amateur Wireless Assn
W1LAS,1914,2F,682,2,NA,CT,12,NA
W1LN/VY2 (+W1AND),3006,2B2,1393,2,NA,MAR,2,NA
W1LQ/M,716,1C,147,2,NA,ME,1,NA
W1LY,11014,2A,2849,2,W1SYE,RI,47,The Sakonnet 49'ers
W1MB,2590,2A,702,2,K1NQG,RI,10,Fidelity ARC
W1MP,218,1E,34,2,NA,VT,1,NA
W1N,2750,6A,574,2,NA,EMA,37,"Whtiman ARC, Inc."
W1NHS,394,2D,136,2,NA,CT,2,NA
W1NPP,3020,3AB,258,5,NA,ME,12,Androscoggin ARC
W1NRG,5978,2A,1441,2,W1FD,CT,30,Meriden ARC
W1NVT,16320,2A,5467,2,W1PU,VT,23,Radio Amateurs Of Northern VT
W1NY,12054,7A,3817,2,N1KXR,WMA,45,Hampden Co RA
W1OP,10558,3A,3549,2,W1PRA,RI,17,Providence Radio Assn
W1ORS,1300,2E,270,2,NA,CT,13,NA
W1PAZ,70,2AB,2,5,NA,VT,3,Wage Peace RG
W1PBR,5184,3A,1048,2,NY1B,ME,12,Pen Bay ARC
W1QI,4376,2A,1435,2,NA,CT,20,Candlewood ARA
W1REP,1020,1E,67,5,NA,NC,1,NA
W1RM,262,1D,131,1,NA,CT,1,NA
W1SAT,3720,10F,211,5,NA,ORG,40,NA
W1TKZ,480,2AC,101,2,NA,EMA,17,Wellesley ARS
W1TU,4462,2A,1070,2,KB1CEJ,ME,28,Ellsworth Am Wireless Assn
W1UR,6104,2A,2165,2,W1BST,NH,15,Lakes Region Repeater Assn
W1VCM,60,1D,30,2,NA,CT,10,ARC of the Vintage Communications Museum of CT
W1VD,590,1E,159,2,NA,CT,1,NA
W1WAB,66,1D,4,2,NA,WCF,1,NA
W1XH,536,1D,134,2,NA,EMA,1,NA
W2ACO,2,1D,1,2,NA,NNJ,1,NA
W2AE,2948,4A,638,2,NA,WNY,71,RA of Greater Syracuse
W2AJW,90,1D,20,2,NA,AZ,1,NA
W2BC,7954,1E,1901,2,NA,WNY,6,NA
W2CM,3248,3A,757,2,WB2BJW,WNY,74,Liverpool Am Repeater Club
W2CRA,2202,3A,461,2,NA,NNJ,28,Cherryville Repeater Assn II
W2DPT,1635,1E,153,5,NA,NNJ,1,NA
W2DQ,1364,4A,237,2,NA,NLI,37,Suffolk Co RC
W2DXE,680,1D,158,2,NA,WNY,1,NA
W2EB,600,1B1B,25,5,NA,WNY,1,NA
W2EF,2866,1F,565,2,NA,NNJ,12,NA
W2EGB,3006,2A,1018,2,WB2HPR,ENY,32,East Greenbush ARA
W2EUP,1556,3A,450,2,NA,WNY,16,Buffalo AR Repeater Assn
W2FAM,2620,2A,626,2,NA,WNY,3,FISTS Along The Mohawk ARC
W2FHA,2568,6A,482,2,NA,WNY,17,Fort Herkimer ARA
W2FU,4815,1B1B,482,5,NA,IA,1,NA
W2GLQ,2996,4A,819,2,NA,NNJ,16,Nutley Armature RS
W2GSA,1918,2F,476,2,NA,NNJ,17,NA
W2GSB,7190,5F,1742,2,W2TOB,NLI,83,NA
W2HC,1334,3A,287,2,NA,SNJ,9,Holiday City ARC
W2HO,3884,5A,1081,2,NE2Z,ENY,75,Orange Co ARC
W2HRW/K2B,1118,3A,151,2,NA,SNJ,25,Shore Points ARC
W2IQ,1110,3A,189,2,NA,TN,36,Lakeway ARC
W2IR,1540,3A,343,2,KC2VWW,ENY,19,Schenectady Museum ARA
W2JC,8,1D,4,2,NA,NNJ,1,NA
W2JLK,2650,1B1B,230,5,NA,NNJ,1,NA
W2JU,472,1D,127,2,NA,EMA,1,NA
W2KRD,316,1D,86,2,NA,SNJ,1,NA
W2LCA,1830,3A,397,2,K2CC,NNY,12,NA
W2LIS,1232,6A,266,2,NA,NLI,8,Long Island AR Simplex Club
W2LV,8364,3A,2472,2,KC2VWI,NNJ,22,Sussex Co ARC
W2LZ,4145,2AB,389,5,W2CD,WNY,8,Walton RA
W2MMD,12438,8A,3558,2,NA,SNJ,46,Gloucester Co ARC
W2MO,1336,3A,217,2,NA,WNY,14,NA
W2MRD,422,1E,86,2,NA,ENY,1,NA
W2NRC,1614,2A,306,2,NA,NNJ,10,Neptune ARC
W2NYW,2602,2A,879,2,NA,ENY,14,Peekskill/Cortlandt ARA
W2ONT,1030,2F,121,2,NA,WNY,15,NA
W2ORC,4794,2F,1167,2,WA2DQL,WNY,29,NA
W2OW,1656,3A,466,2,NA,WNY,53,Binghamton ARA
W2PE,1962,3AC,557,2,NA,WNY,15,Radio Assn of Western NY
W2PQG,198,1D,24,2,NA,NNJ,2,NA
W2RA,12076,2A,3068,2,NA,WNY,3,Mui's Marauders
W2RAK,1988,3A,421,2,NA,NLI,10,Kings Cty RC
W2RDX,6458,2A,1825,2,W2AN,WNY,30,Rochester DX Assn
W2RI,255,1C,105,1,NA,ENY,1,NA
W2RI/M,255,1C,105,1,NA,ENY,1,NA
W2RME,2926,3A,614,2,NA,WNY,20,Chenango Valley ARA
W2RR,626,1D,300,1,NA,WNY,1,NA
W2RUI,948,3A,123,2,KC2VUB,WNY,16,Lockport ARA
W2SEX,2302,4F,556,2,NA,WNY,33,NA
W2SO,3058,8A,828,2,NA,WNY,10,Lancaster NY ARC
W2SZ,132,2D,41,2,NA,ENY,2,NA
W2VA,840,2AC,33,2,NA,NLI,14,Wantagh ARC
W2VL,3616,4A,813,2,WV2LI,NLI,79,Long Island Mobile ARC
W2XRX,3344,3A,1094,2,NA,WNY,16,Xerox ARC
W2YD,3006,2A,699,2,NA,NNJ,8,Morris RC
W2YRC,5072,3A,1189,2,KF2FK,ENY,44,Yonkers ARC
W2ZJ,1186,4AC,165,2,NA,WNY,30,ARA of the Southern Tier
W3ACH,2078,4A,353,2,NA,WPA,50,Cumberland Valley ARC
W3AG,1010,1E,76,5,NA,WPA,1,NA
W3AI,3974,5A,1090,2,NA,EPA,25,RF Hill ARC
W3ANX,2360,1E,221,5,NA,WPA,1,NA
W3AO,38764,25A,12158,2,KE3Q,MDC,90,Potomac Valley RC & Columbia ARA
W3AWA,5420,7A,1305,2,NA,EPA,63,Mobile Sixers/Marple Newtown/Delaware Co ARC
W3BAL,1534,1F,425,2,NA,MDC,12,NA
W3BD,2086,2A,429,2,NA,EPA,4,Keystone RA of PA
W3BN,2068,3A,422,2,NA,EPA,40,Reading RC
W3BSA,886,2A,168,2,NA,MDC,10,BSA Venturing Crew 80
W3CDI,272,1D,96,2,NA,MDC,2,NA
W3CSL,3902,3A,1245,2,NA,WPA,38,Monessen ARC
W3CU,2658,5A,498,2,NA,MDC,39,Maryland Mobileers ARC
W3CWC,2982,6A,577,2,W3HAG,MDC,32,Antietam Radio Assn
W3ELM,430,1E,70,2,NA,EPA,1,NA
W3EM,5516,4A,1675,2,W3PSH,EPA,52,Phil-Mont Mobile RC
W3FME,278,1B2C,139,2,NA,DE,2,NA
W3GA,1590,3E,1001,1,NA,WPA,10,NA
W3GV,3628,4A,1071,2,NA,WPA,28,NA
W3HA,5966,3A,1575,2,NA,EPA,8,Carbon ARC
W3HBM,1530,1E,128,5,NA,ME,1,NA
W3HGT,2738,1E,1047,2,NA,TN,6,NA
W3HRK,1280,3A,252,2,NA,WPA,6,Panther ARC
W3HZU,4200,3A,980,2,W3ZGD,EPA,31,Keystone VHF Club & Hilltop Transmitter Assn
W3HZW,4226,2A,1122,2,AA3ZH,DE,30,Kent Co ARC
W3HZZ,370,1B1B,22,5,NA,OH,1,NA
W3KDR,3318,1A,1070,2,NA,MDC,7,Dr Loomis Memorial Jr Mechanics League
W3KGN,4798,3F,1226,2,K3DCS,EPA,18,NA
W3KS,872,1E,361,2,NA,DE,1,NA
W3KWH,5868,3E,2041,2,NA,WPA,22,NA
W3LL,144,1E,46,2,NA,MDC,1,NA
W3LRC,724,2A,187,2,NA,MDC,12,NA
W3LRS,684,2AC,146,2,NA,DE,7,Lewes ARS
W3LWW,332,1A,41,2,NA,WPA,9,Foothills ARC
W3MIE,5578,2A,1444,2,N3QQH,WPA,39,Crawford ARS
W3MUM,1678,2A,683,2,NA,MDC,16,NA
W3NWA,2378,2A,642,2,NA,EPA,24,Mid-Atlantic ARC
W3OC,9870,7A,2580,2,NA,WPA,45,Two Rivers ARC
W3OI,2020,3F,357,2,W3GRD,EPA,36,NA
W3OK,5300,4A,1518,2,WX3MAS,EPA,50,Delaware Lehigh ARC
W3ONA,78,2D,14,2,NA,SC,2,NA
W3PBC,2110,2AB,180,5,NA,EPA,4,NA
W3PGC,2272,4AC,458,2,NA,MDC,43,PG ARES
W3PIE,834,2A,267,2,NA,WPA,17,Uniontown ARC
W3RP,1474,2A,389,2,NA,WPA,10,Crown RG
W3S,4516,2A,1076,2,NA,EPA,12,Schuylkill Am Rep Assn
W3SAT,400,1F,175,2,NA,WPA,8,NA
W3SFG,518,1D,134,2,NA,MDC,1,NA
W3SGJ,2472,6A,647,2,NA,WPA,40,Beaver Valley ARA
W3SJI,1106,3AC,263,2,NA,EPA,15,Anthracite Repeater Assn
W3SK,4120,4A,1110,2,NA,EPA,16,Penn Wireless Assn
W3SW,1666,1B2B,658,2,NA,WNY,2,NA
W3TS,6830,1B1B,638,5,NA,EPA,1,NA
W3TUA,1900,1B1B,175,5,NA,NNY,1,NA
W3UDX,3760,3A,941,2,AA3YW,WPA,8,BCARA
W3VPJ,5372,2E,1401,2,NA,EPA,18,NA
W3VPR,8404,10A,2293,2,NA,MDC,74,Anne Arundel RC
W3W,1366,2A,285,2,NA,EPA,20,Harrisburg Radio Amateurs Club
W3WOT,90,1D,45,2,NA,NC,1,NA
W3WRC,235,5A,183,1,NA,SV,5,The World RC
W3WT,1150,1B1B,80,5,NA,EPA,1,NA
W3YMW,2112,5A,315,2,NA,MDC,25,Mountain ARC
W3ZIC,1990,5A,333,2,NA,WPA,15,Ft. Vanango Mike and Key Club
W4AAZ,2528,3F,533,2,KI5FR,NFL,20,NA
W4AB,2506,3A,481,2,KJ4URW,SFL,45,Broward ARC / Davie Cooper City ARC
W4ABR,3628,2A,1248,2,NA,TN,21,Johnson City ARA
